ID,Sub-ID,Discoverer,Date discovered,Solution
39,1,Corina Miner,2013-10-06,22222299b000099bb7008899bbb777788aa3333111788aaa663311444555a66661444555
40,1,Corina Miner,2013-10-10,888555884555b894444bbb996774222bb99667722200009a6677113300aaa611113333aa
40,2,Corina Miner,2018-07-25,888555884555b894444bbb991114222bb99117122200009a6677773300aaa666673333aa
41,1,Corina Miner,2013-10-11,88899b8899bbb8099bbaa0001444aaa020211444a7772222111335557776633335556666
41,2,Corina Miner,2013-10-11,88899b8899bbb8299bbaa2221444aaa220011444a7770000111335557776633335556666
42,1,Corina Miner,2013-10-11,88899b8899bbb8099bbaa0003333aaa020211133a7772222114445557776614445556666
42,2,Corina Miner,2013-10-11,88899b8899bbb8299bbaa2223333aaa220011133a7770000114445557776614445556666
43,1,Barty Sachs,2013-10-30,aa1aaa116a4111b6644449bb26677499bbb2226779988888220077933555800003333555
43,2,Corina Miner,2014-03-01,aa1aaa116a4111b6644449bb06677499bbb0006779988888020277933555822223333555
44,1,Corina Miner,2014-02-12,99b99bbb99777bb88888777308555663333000555466663a0202444411aaa222241111aa
44,2,Corina Miner,2014-02-12,99b99bbb99777bb88888777328555663333222555466663a2200444411aaa000041111aa
44,3,Corina Miner,2014-02-12,b99bbb99bb7779988888777308555663333000555466663a0202444411aaa222241111aa
44,4,Corina Miner,2014-02-12,b99bbb99bb7779988888777328555663333222555466663a2200444411aaa000041111aa
45,1,Corina Miner,2014-02-12,33b333bb7773bbb88077749988000444499a880102455599aaa1122255566aa111226666
45,2,Corina Miner,2014-02-12,33b333bb7773bbb88077749988000444499a880201455599aaa2221155566aa221116666
45,3,Corina Miner,2014-02-12,b33bb333bbb377788077749988000444499a880102455599aaa1122255566aa111226666
45,4,Corina Miner,2014-02-12,b33bb333bbb377788077749988000444499a880201455599aaa2221155566aa221116666
45,5,Corina Miner,2014-02-12,33b333bb7773bbb88077755588000995554a880102994444aaa1122299466aa111226666
45,6,Corina Miner,2014-02-12,33b333bb7773bbb88077755588000995554a880201994444aaa2221199466aa221116666
45,7,Corina Miner,2014-02-12,b33bb333bbb377788077755588000995554a880102994444aaa1122299466aa111226666
45,8,Corina Miner,2014-02-12,b33bb333bbb377788077755588000995554a880201994444aaa2221199466aa221116666
45,9,Corina Miner,2018-07-26,33b333bb7773bbb22277749911222444499a111100455599aaa8000055566aa888886666
45,10,Corina Miner,2018-07-26,33b333bb7773bbb11177749921211444499a222200455599aaa8000055566aa888886666
45,11,Corina Miner,2018-07-26,b33bb333bbb377722277749911222444499a111100455599aaa8000055566aa888886666
45,12,Corina Miner,2018-07-26,b33bb333bbb377711177749921211444499a222200455599aaa8000055566aa888886666
45,13,Corina Miner,2018-07-26,33b333bb7773bbb22277755511222995554a111100994444aaa8000099466aa888886666
45,14,Corina Miner,2018-07-26,33b333bb7773bbb11177755521211995554a222200994444aaa8000099466aa888886666
45,15,Corina Miner,2018-07-26,b33bb333bbb377722277755511222995554a111100994444aaa8000099466aa888886666
45,16,Corina Miner,2018-07-26,b33bb333bbb377711177755521211995554a222200994444aaa8000099466aa888886666
45,17,Corina Miner,2018-07-26,b33bb333bbb355588099555488000994444a880102994777aaa1122277766aa111226666
